Restaurants,Street,City,State and Zip,Phone Number,Habitat,Platform Priority,Vendor Type,Menu Difficulty,Sales Step,EAT 24,GRUBHUB,GH & Yelp Reviews,Priority,Yelp Rating,Cuisine,Outsourced vs. in house,Uber Eats,Postmates,Caviar,Catering,DaaS,DaaS - GH,Order Method,iPad Serial No. ,Direct Deposit
GIOVANI'S FALAFEL BAR & GRILL,1533 Chestnut St, Philadelphia, PA 19102,(215) 568-0800,W.CC,DaaS,Dine in,Medium (100+ Combos),,Y,Y,300+,high,4,,,Y,Y,N,,,,,,
CHIX & BOWLS,28 S 20th St, Philadelphia, PA 19103,(215) 845-5118,W.CC,Both,Fast Casual,Medium (100+ Combos),,N,N,,nonexistant,4,,,Y,N,Y,,,,,,
JOE'S PIZZA,122 S 16th St, Philadelphia, PA 19102,(215) 569-0898,W.CC,DaaS,Fast Casual,High (300+ Combos),,Y,Y,100+,low,3.5,,,Y,Y,Y,,,,,,
SQUARE ON SQUARE,1905 Chestnut St, Philadelphia, PA 19103,(215) 568-0088,W.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
CIAO PIZZA,1709 Chestnut St, Philadelphia, PA 19103,(215) 568-6633,W.CC,DaaS,Fast Casual,High (300+ Combos),,Y,Y,,nonexistant,3.5,,,Y,Y,Y,,,,,,
RACHAEL'S NOSHERI,120 S 19th St, Philadelphia, PA 19103,(215) 568-9565,W.CC,Both,Fast Casual,Medium (100+ Combos),,Y,Y,100+,medium,3.5,,,N,Y,N,,,,,,
MELTKRAFT,46 S 17th St, Philadelphia, PA 19103,(215) 687-4950,W.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,N,100+,medium,4.5,,,Y,Y,Y,,,,,,
CHESTNUT STREET PHILLY BAGELS,1705 Chestnut St, Philadelphia, PA 19103,(215) 299-9920,W.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,N,100+,low,4,,,Y,Y,Y,,,,,,
SWISS HAUS BAKERY,35 S 19th St, Philadelphia, PA 19103,(215) 563-0759,W.CC,Both,Fast Casual,Low (less than 100 Combos),Onboard,Y,N,300+,high,4,,,N,N,N,,,,,,
POPEYES,1515 Chestnut Street, Philadelphia, PA 19103,(215) 665-8470,W.CC,DaaS,Fast Casual,Low (less than 100 Combos),,N,N,300+,high,2.5,,,N,Y,N,,,,,,
LIBERTY BAR,2204 Market St, Philadelphia, PA 19103,(215) 964-9455,W.CC,DaaS,Fast Casual,Low (less than 100 Combos),,N,N,,nonexistant,4,,,Y,Y,N,,,,,,
MATT & MARIE'S,100 N 18th St, Philadelphia, PA 19103,(267) 273-1940,W.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,100+,low,4,,,N,Y,Y,,,,,,
CAVANAUGH'S RITTENHOUSE,1823 Sansom St, Philadelphia, PA 19103,215) 665-9500,W.CC,DaaS,Dine in,Medium (100+ Combos),,Y,Y,100+,medium,3.5,,,N,Y,Y,,,,,,
HORN & HARDART CAFE ,1617 John F Kennedy Blvd, Philadelphia, PA 19103,(215) 496-7207,W.CC,Both,Fast Casual,Low (less than 100 Combos),,N,N,,nonexistant,4,,,N,Y,N,,,,,,
LATIMER EXPRESS,255 S 15th St, Philadelphia, PA 19102,(215) 545-9244,W.CC,DaaS,Fast Casual,Medium (100+ Combos),,N,N,,nonexistant,3,,,N,Y,N,,,,,,
GREAT WRAPS,The Shops at Liberty Place, 1625 Chestnut St, Philadelphia,(215) 564-1871,W.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,N,,nonexistant,3,,,N,Y,N,,,,,,
SALADWORKS AT LIBERTY PALCE,The Shops at Liberty Place, 1625 Chestnut St, Philadelphia,(215) 963-9099,W.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,Y,,nonexistant,2.5,,,N,Y,N,,,,,,
TAVERN ON BROAD,The Bellevue Philadelphia, 200 S Broad St, Philadelphia,(215) 546-2290,W.CC,DaaS,Fast Casual,Low (less than 100 Combos),,N,Y,100+,low,2.5,,,,,,,,,,,
MIZU,111 S 40th St, Philadelphia, PA 19104,(215) 382-1745,UCity,Both,Dine in,Medium (100+ Combos),,N,Y,300+,very high,3,,,N,Y,N,,,,,,
GOLDEN CUISINE,679 N Broad St, Philadelphia, PA 19123,(215) 769-1099,Temple,Both,Dine in,Medium (100+ Combos),,Y,Y,300+,high,3,,,Y,Y,N,,,,,,
LOVE PARK PIZZA & CHICKEN,1402 Ridge Ave, Philadelphia, PA 19130,(215) 765-1222,Temple,DaaS,Fast Casual,Medium (100+ Combos),,Y,N,300+,high,3,,,Y,N,N,,,,,,
GUNNERS RUN,The Schmidt’s Commons, 1001 N 2nd St, Philadelphia,(267) 273-1144,No Libs,Both,Fast Casual,Low (less than 100 Combos),,N,Y,100+,low,3,,,Y,Y,N,,,,,,
KANSAI JAPANESE CUSINE,1822 Spring Garden St, Philadelphia, PA 19130,(215) 568-0888,Fairm.,DaaS,Dine in,Medium (100+ Combos),,N,Y,300+,medium,4,,,Y,Y,N,,,,,,
LUIGIS PIZZA FRESCA,2401 Fairmount Ave, Philadelphia, PA 19130,(215) 769-8888,Fairm.,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,100+,medium,4,,,Y,Y,N,,,,,,
GARDEN PIZZA,1902 W Girard Ave, Philadelphia, PA 19130,(215) 236-6444,Fairm.,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,300+,high,3,,,Y,Y,N,,,,,,
ASIA ON THE PARKWAY,1700 Benjamin Franklin Pkwy, Philadelphia, PA 19103,(215) 988-9889,Fairm.,Both,Dine in,Medium (100+ Combos),,Y,Y,100+,low,4,,,N,Y,N,,,,,,
LINOCOLN CHICKEN PIZZA & GRILL,2614 W Girard Ave, Philadelphia, PA 19130,(215) 787-9900,Fairm.,DaaS,Fast Casual,Medium (100+ Combos),,N,N,300+,high,2.5,,,Y,Y,N,,,,,,
OOH LALA SALADS,1238 W Girard Ave, Philadelphia, PA 19123,(215) 769-1006,Fairm.,Both,Fast Casual,Low (less than 100 Combos),,Y,Y,300+,medium,3,,,Y,N,N,,,,,,
LONG RIVER,1543 Spring Garden St, Philadelphia, PA 19130,(215) 569-9933,Fairm.,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,300+,high,2,,,N,Y,N,,,,,,
ITALIAN EXPRESS,2641 W Girard Ave, Philadelphia, PA 19130,(215) 236-9977,Fairm.,DaaS,Fast Casual,High (300+ Combos),,Y,Y,300+,high,3.5,,,Y,Y,N,,,,,,
ARCH GOURMET,2200 Arch St, Philadelphia, PA 19103,(215) 567-1796,Fairm.,Both,Fast Casual,Medium (100+ Combos),,N,Y,,nonexistant,4,,,Y,Y,N,,,,,,
MIGA,2001 Hamilton St, Philadelphia, PA 19130,(215) 640-0100,Fairm.,DaaS,Dine in,Medium (100+ Combos),,N,N,300+,medium,3,,,Y,Y,N,,,,,,
KABUKI SUSHI,45 N 13th St, Philadelphia, PA 19107,(215) 567-8600,E.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,300+,medium,4,,,N,N,N,,,,,,
SPICE 28,1228 Chestnut St, Philadelphia, PA 19107,(215) 928-8880,E.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,300+,very high,4,,,N,Y,N,,,,,,
EMPRESS GARDEN,108 N 10th St, Philadelphia, PA 19107,(215) 592-0739,E.CC,DaaS,Fast Casual,High (300+ Combos),,Y,Y,300+,medium,4,,,Y,Y,N,,,,,,
YUMMY SUSHI,1807 John F Kennedy Blvd, Philadelphia, PA 19103,(215) 977-9999,E.CC,DaaS,Fast Casual,High (300+ Combos),,Y,Y,300+,very high,4,,,N,Y,N,,,,,,
SCOOP DEVILLE,1315 Walnut St, Philadelphia, PA 19107,(215) 988-9992,E.CC,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,300+,medium,4,,,Y,N,Y,,,,,,
TOM'S DIM SUM,59 N 11th St, Philadelphia, PA 19107,(215) 923-8880,E.CC,DaaS,Dine in,High (300+ Combos),,Y,N,300+,medium,4,,,Y,N,N,,,,,,
SAKURA MANDARIN,1038 Race St, Philadelphia, PA 19107,(215) 873-8338,E.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,300+,very high,3.5,,,Y,Y,N,,,,,,
SAKURA MANDARIN,1038 Race St, Philadelphia, PA 19107,(215) 873-8338,E.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,300+,very high,3.5,,,Y,Y,N,,,,,,
PHO 20,234 N 10th St, Philadelphia, PA 1910,(215) 413-2020,E.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,100+,low,4,,,Y,Y,N,,,,,,
Pandora's Lunchbox,1221 Walnut St, Philadelphia, PA 19107,(215) 922-2333,E.CC,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,300+,medium,3.5,,,N,Y,N,,,,,,
ZIO'S BRICK OVEN PIZZERIA,111 S 13th St, Philadelphia, PA 19107,(215) 627-1615,E.CC,DaaS,Fast Casual,Medium (100+ Combos),,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
VEGGIE LOVERS,225 N 11th St, Philadelphia, PA 19107,(215) 226-6688,E.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,100+,low,3.5,,,N,Y,N,,,,,,
FUEL CENTER CITY,1225 Walnut St, Philadelphia, PA 19107,(215) 922-3835,E.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,N,300+,high,3.5,,,Y,Y,Y,,,,,,
SOPRANOS AT THE BELLEVUE,The Bellevue Philadelphia, 200 S Broad St, Philadelphia,(215) 546-9200,E.CC,Both,Fast Casual,Low (less than 100 Combos),,Y,Y,,nonexistant,5,,,N,Y,N,,,,,,
MINAR PALACE,1304 Walnut St, Philadelphia, PA 19107,(215) 546-9443,E.CC,Both,Dine in,Medium (100+ Combos),,N,Y,300+,high,3.5,,,Y,Y,N,,,,,,
SNAP KITCHEN (OLD CITY),243 Market Street, Floor 1, Philadelphia,(215) 845-0004,E.CC,Both,Dine in,Low (less than 100 Combos),,N,Y,100+,low,4.5,,,Y,Y,Y,,,,,,
TASTY PLACE,143 N 11th St, Philadelphia, PA 19107,(215) 592-8990,E.CC,DaaS,Fast Casual,Medium (100+ Combos),,N,N,100+,low,4,,,N,Y,N,,,,,,
DIMSUM GARDEN,1020 Race St, Philadelphia, PA 19107,(215) 873-0258,E.CC,Both,Dine in,Medium (100+ Combos),,Y,Y,300+,very high,4,,,Y,N,Y,,,,,,
EL PUREPECHA,469 N 10th St, Philadelphia, PA 19123,(215) 765-2369,E.CC,Both,Fast Casual,Low (less than 100 Combos),,N,Y,300+,medium,4.5,,,N,Y,N,,,,,,
LEE HOW FOOK,219 N 11th St, Philadelphia, PA 19107,(215) 925-7266,E.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,100+,low,4,,,N,Y,N,,,,,,
SEA BAR RESTAURANT,140 N 10th St, Philadelphia, PA 19107,(215) 627-4355,E.CC,Both,Dine in,Low (less than 100 Combos),,N,N,,nonexistant,3.5,,,Y,Y,N,,,,,,
VIETNAM PALACE,222 N 11th St, Philadelphia, PA 19107,(215) 592-9596,E.CC,Both,Dine in,Medium (100+ Combos),,N,N,100+,low,3.5,,,N,Y,N,,,,,,
FRATELLI'S ITALIAN BISTRO,1339 Chestnut St, Philadelphia, PA 19107,(215) 731-0700,E.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,300+,medium,3,,,Y,Y,N,,,,,,
XIAN SIZZLING WOKS,902 Arch St, Philadelphia, PA 19107,(215) 925-1688,E.CC,Both,Fast Casual,Medium (100+ Combos),,N,Y,300+,medium,4,,,Y,Y,N,,,,,,
MOOD INDIAN,423 W Girard Ave, Philadelphia, PA 19123,(215) 925-5080,No Libs,DaaS,Dine in,Medium (100+ Combos),,Y,Y,300+,very high,4,,,Y,Y,N,,,,,,
TRIOS PIZZERIA &TRATTORIA,342 W Girard Ave, Philadelphia, PA 19123,(215) 627-1000,No Libs,DaaS,Fast Casual,Medium (100+ Combos),,N,Y,300+,very high,4,,,Y,N,Y,,,,,,
TEMPLE TOWN PIZZA,2001 N Gratz St, Philadelphia, PA 19121,(215) 232-1935,Temple,Both,Fast Casual,Medium (100+ Combos),,N,Y,100+,low,4,,,N,N,N,,,,,,
CIRCLES THAI NORTHERN LIBERTIES,812 N 2nd St, Philadelphia, PA 19123,(267) 687-1309,No Libs,Both,Dine in,Low (less than 100 Combos),,N,N,300+,high,3.5,,,N,N,N,,,,,,
MEXICAN POST EXPRESS ,Comcast Center, 1701 John F Kennedy Blvd, Philadelphia,(267) 519-3953,W.CC,Consumer,Fast Casual,Low (less than 100 Combos),,Y,Y,100+,low,2.5,,,N,Y,N,,,,,,
LORENZO'S FAMOUS BEANS & RICE,1301 N 25th St, Philadelphia, PA 19121,(215) 765-3511,W.CC,DaaS,Fast Casual,Medium (100+ Combos),,N,N,,nonexistant,,,,Y,N,N,,,,,,
BISTRO BY CUISINE,4207 Ferne Blvd, Drexel Hill, PA 19026,(484) 461-9146,W.CC,,,,,N,N,,nonexistant,,,,N,N,N,,,,,,
FUJI MOUNTAIN JAPANESE,2030 Chestnut St, Philadelphia, PA 19103,(215) 751-0939,W.CC,DaaS,Dine in,High (300+ Combos),,Y,Y,300+,high,4,,,N,N,Y,,,,,,
DIM SUM & NOODLE,2000 Hamilton St #104, Philadelphia, PA 19130,(215) 515-3992,Fairm.,Both,Dine in,Low (less than 100 Combos),,N,Y,300+,medium,4.5,,,Y,N,N,,,,,,
SMILE CAFE,105 S 22nd St, Philadelphia, PA 19103,(215) 564-2502,W.CC,Both,Dine in,Low (less than 100 Combos),,Y,Y,300+,low,4,,,Y,N,N,,,,,,
TRIO,2601 Pennsylvania Ave, Philadelphia, PA 19130,(215) 232-8746,Fairm.,,,,,N,N,100+,low,3.5,,,N,N,N,,,,,,
CHO CHO SAN JAPANESE & CHINESE,2000 Hamilton St #106, Philadelphia, PA 19130,(215) 557-1918,Fairm.,,,,,N,N,300+,very high,3,,,N,Y,N,,,,,,
BRANDYWINE PIZZA,532 N 15th St, Philadelphia, PA 19130,(215) 563-3788,W.CC,,,,,Y,Y,300+,very high,2.5,,$100 MINIMUM & $4.99 DF,N,Y,N,,,,,,
SALADWORKS AT LIBERTY PALCE,The Shops at Liberty Place, 1625 Chestnut St, Philadelphia,(215) 963-9099,W.CC,,,,,Y,Y,,nonexistant,2.5,,,N,Y,N,,,,,,
DOMA,1822 Callowhill St, Philadelphia, PA 19130,(215) 564-1114,Fairm.,,,,,N,N,300+,high,4,,,N,N,N,,,,,,
ERAWAN THAI CUISINE,123 S 23rd St, Philadelphia, PA 19103,(215) 567-2542,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
BYBLOS RESTAURANT & HOOKAH BAR,116 S 18th St, Philadelphia, PA 19103,(215) 568-3050,W.CC,,,,,N,N,100+,low,3,,,Y,N,Y,,,,,,
SEAFOOD UNLIMITED,270 S 20th St, Philadelphia, PA 19103,(215) 732-3663,W.CC,,,,,N,Y,100+,low,3,,,N,Y,Y,,,,,,
FINE PALATE,231 S 15th St, Philadelphia, PA 19102,(267) 318-7971,W.CC,,,,,N,N,100+,low,4,,,Y,Y,Y,,,,,,
"ELLEN'S BAGELS, HOAGIES & MORE",200 S Broad St Philadelphia, PA 19102,,(215) 732-8477,W.CC,,,,,N,Y,,nonexistant,4,,,N,Y,N,,,,,,
Baril,267 S 19th St, Philadelphia, PA 19103,(267) 687-2608,W.CC,,,,,Y,Y,,nonexistant,3.5,,,N,N,N,,,,,,
TAI LAKE RESTAURANT,134 N 10th St, Philadelphia, PA 19107,(215) 922-0698,E.CC,,,,,N,N,100+,medium,3.5,,,N,N,N,,,,,,
CIBO RISTORANTE ITALIANO,1227 Walnut St, Philadelphia, PA 19107,(215) 923-8208,E.CC,,,,,Y,Y,,nonexistant,3.5,,,N,Y,N,,,,,,
VANGO LOUNGE & SKYBAR,116 S 18th St, Philadelphia, PA 19103,(215) 568-1020,W.CC,,,,,N,Y,100+,medium,2,,,Y,Y,N,,,,,,
KANSAI,1822 Spring Garden St, Philadelphia, PA 19130,(215) 568-0888,Fairm.,,,,,N,Y,300+,high,4,,,Y,Y,N,,,,,,
KING OF TANDOOR,1824 Callowhill St, Philadelphia, PA 19130,(215) 568-0751,Fairm.,,,,,Y,Y,300+,high,3.5,,,N,Y,N,,,,,,
DOMINOS PIZZA,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
CITY VIEW PIZZA,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
FAIRMOUNT PIZZA AND GRILL,2000 Fairmount Ave, Philadelphia, PA 19130,(215) 763-4000,Fairm.,,,,,N,Y,300+,medium,3.5,,,N,Y,N,,,,,,
MAD MEX U.C,3401 Walnut St, Philadelphia, PA 19104,(215) 382-2221,UCity,,,,,,,300+,high,3,,,,,,,,,,,
SAKURA SUSHI CUISINE,1521 Spring Garden St, Philadelphia, PA 19130,(215) 569-3838,Fairm.,,,,,Y,Y,300+,very high,3.5,,,Y,Y,N,,,,,,
I-TEA,1537 Spring Garden St, Philadelphia, PA 19130,(215) 665-8886,Fairm.,,,,,,,300+,very high,4.5,,,,,,,,,,,
JOHNS PLACE,1529 Spring Garden St, Philadelphia, PA 19130,(215) 665-0972,Fairm.,,,,,Y,Y,300+,medium,3.5,,,N,Y,N,,,,,,
LA SCALA'S PRONTO,1501 Spring Garden St, Philadelphia, PA 19130,(215) 751-0200,Fairm.,,,,,N,Y,300+,very high,3.5,,,N,Y,N,,,,,,
ZORBA'S TAVERN,2230 Fairmount Ave, Philadelphia, PA 19130,(215) 978-5990,Fairm.,,,,,N,Y,300+,medium,4,,,Y,Y,N,,,,,,
LONDON GRILL,2301 Fairmount Ave, Philadelphia, PA 19130,(215) 978-4545,Fairm.,,,,,N,N,300+,low,3,,,Y,Y,N,,,,,,
PETE'S FAMOUS PIZZA RESTAURANT,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
TGI FRIDAYS,Multiple Locations,,,,,,,,,,,300+,high,3,,,,,,,,,,,
LUIGI'S PIZZA FRESCA,Multiple Locations,,,,,,,,,,,300+,medium,4,,,,,,,,,,,
ASIA ON THE PARKWAY,The Windsor Suites, 1700 Benjamin Franklin Pkwy, Philadelphia,(215) 988-9889,Fairm.,,,,,Y,Y,100+,medium,4,,,N,Y,N,,,,,,
ZUZU'S KITCHEN,1500 Ridge Ave, Philadelphia, PA 19130,(215) 232-9898,Fairm.,,,,,N,Y,300+,very high,4.5,,,N,Y,N,,,,,,
REX PIZZA,1526 Race St, Philadelphia, PA 19102,(215) 557-9555,Fairm.,,,,,Y,Y,300+,medium,2.5,,,Y,Y,N,,,,,,
LOVE PARK PIZZA & CHICKEN,1402 Ridge Ave, Philadelphia, PA 19130,(215) 765-1222,Fairm.,,,,,Y,N,300+,high,3,,,Y,Y,N,,,,,,
PETE'S FAMOUS PIZZA RESTAURANT,Multiple Locations,,,,,,,,,,,300+,very high,3,,,,,,,,,,,
JAKE'S PIZZA,201 N Broad St, Philadelphia, PA 19107,(215) 587-0447,Fairm.,,,,,N,Y,100+,low,3,,,N,Y,N,,,,,,
YUMMY SUSHI,1807 John F Kennedy Blvd, Philadelphia, PA 19103,(215) 977-9999,Fairm.,,,,,N,Y,300+,very high,4,,,N,Y,N,,,,,,
MIKE'S STEAKS,1701 John F Kennedy Blvd, Philadelphia, PA 19103,(215) 246-0277,Fairm.,,,,,N,N,,nonexistant,3,,,N,Y,N,,,,,,
FOODS ON FIRST,1429 Arch St, Philadelphia, PA 19102,(215) 568-3555,Fairm.,,,,,Y,Y,300+,very high,3.5,,,N,N,N,,,,,,
PARADA MAIMON,345 N 12th St, Philadelphia, PA 19123,(215) 925-2000,E.CC,,,,,N,Y,300+,medium,4.5,,,N,Y,N,,,,,,
ANGELINO'S RESTAURANT PIZZERIA,849 N 25th St, Philadelphia, PA 19130,(215) 787-9945,W.CC,,,,,N,Y,100+,low,4,,,N,Y,N,,,,,,
GOLDEN LAKE,2206 Market St, Philadelphia, PA 19103,(215) 568-7727,W.CC,,,,,Y,Y,100+,medium,3,,,N,Y,N,,,,,,
NEW CHEF KING,1013 Spring Garden St, Philadelphia, PA 19123,(215) 763-2528,E.CC,,,,,N,N,300+,medium,3,,,N,Y,N,,,,,,
CHIX & BOWLS,28 S 20th St, Philadelphia, PA 19103,(215) 845-5118,W.CC,,,,,N,N,,nonexistant,4,,,Y,N,Y,,,,,,
MANDARIN PALACE (JAPANESE & CHINESE),1835 Chestnut St, Philadelphia, PA 19103,(215) 557-6280,W.CC,,,,,Y,Y,300+,very high,3.5,,,N,Y,N,,,,,,
SQUARE ON SQUARE,1905 Chestnut St, Philadelphia, PA 19103,(215) 568-0088,W.CC,,,,,Y,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
DOLCE CARINI,1929 Chestnut St, Philadelphia, PA 19103,(215) 567-8892,W.CC,,,,,Y,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
KABUKI,45 N 13th St, Philadelphia, PA 19107,(215) 567-8600,E.CC,,,,,Y,Y,300+,medium,4,,,Y,Y,N,,,,,,
SPICE END (RITTENHOUSE SQUARE),2004 Chestnut St, Philadelphia, PA 19103,(267) 639-9405,W.CC,,,,,Y,Y,300+,medium,3.5,,,Y,Y,N,,,,,,
